city,year,type,n
"Los Angeles County, Calif.",1976,Total Violent Crime,983.008469011008
"Louisville, Ky.",1976,Total Violent Crime,NA
"Memphis, Tenn.",1976,Total Violent Crime,735.589448754192
"Mesa, Ariz.",1976,Total Violent Crime,308.645038357334
Miami,1976,Total Violent Crime,1526.92038580425
"Miami-Dade County, Fla.",1976,Total Violent Crime,1044.95926860549
Milwaukee,1976,Total Violent Crime,412.556301215141
Minneapolis,1976,Total Violent Crime,743.292377604606
"Montgomery County, Md.",1976,Total Violent Crime,194.144420951766
"Nashville, Tenn.",1976,Total Violent Crime,634.783252126221
"Nassau County, N.Y.",1976,Total Violent Crime,84.2280786217362
National,1976,Total Violent Crime,467.8
New Orleans,1976,Total Violent Crime,863.048084876563
New York City,1976,Total Violent Crime,1781.46371027767
"Newark, N.J.",1976,Total Violent Crime,1784.52020462861
"Oakland, Calif.",1976,Total Violent Crime,1655.35875112579
Oklahoma City,1976,Total Violent Crime,626.789404072006
"Omaha, Neb.",1976,Total Violent Crime,516.73734919916
"Orlando, Fla.",1976,Total Violent Crime,956.798575927701
Philadelphia,1976,Total Violent Crime,684.157116658362
Phoenix,1976,Total Violent Crime,576.378352927108
Pittsburgh,1976,Total Violent Crime,948.664151129323
"Portland, Ore.",1976,Total Violent Crime,1133.17430980101
"Prince George's County, Md.",1976,Total Violent Crime,669.009091883704
"Raleigh, N.C.",1976,Total Violent Crime,358.55847339172
"Sacramento, Calif.",1976,Total Violent Crime,1073.64787111623
Salt Lake City,1976,Total Violent Crime,546.750285062714
San Antonio,1976,Total Violent Crime,436.215008186501
San Diego,1976,Total Violent Crime,532.454098784588
San Francisco,1976,Total Violent Crime,1617.44360902256
San Jose,1976,Total Violent Crime,452.393760086068
Seattle,1976,Total Violent Crime,819.860973187686
"St. Louis, Mo.",1976,Total Violent Crime,1792.192524981
"Suffolk County, N.Y.",1976,Total Violent Crime,153.755716994339
"Tampa, Fla.",1976,Total Violent Crime,1068.95195361441
"Tucson, Ariz.",1976,Total Violent Crime,429.417441270419
"Tulsa, Okla.",1976,Total Violent Crime,499.834056237769
"Virginia Beach, Va.",1976,Total Violent Crime,222.503885722744
"Washington, D.C.",1976,Total Violent Crime,1481.33903133903
"Wichita, Kan.",1976,Total Violent Crime,434.384199957107
"Albuquerque, N.M.",1977,Total Violent Crime,817.538422595531
"Arlington, Texas",1977,Total Violent Crime,344.266067224808
Atlanta,1977,Total Violent Crime,1724.96025437202
"Aurora, Colo.",1977,Total Violent Crime,426.384839650146
"Austin, Texas",1977,Total Violent Crime,391.425908667288
Baltimore,1977,Total Violent Crime,1726.05481127356
"Baltimore County, Md.",1977,Total Violent Crime,623.287319911154
Boston,1977,Total Violent Crime,1521.34353590464
"Buffalo, N.Y.",1977,Total Violent Crime,949.796798859762
"Charlotte-Mecklenburg, N.C.",1977,Total Violent Crime,855.844522213835
Chicago,1977,Total Violent Crime,935.368144288951
Cincinnati,1977,Total Violent Crime,811.714750360539
Cleveland,1977,Total Violent Crime,1474.81265449058
"Columbus, Ohio",1977,Total Violent Crime,569.268635724332
Dallas,1977,Total Violent Crime,1018.54183358132
Denver,1977,Total Violent Crime,967.320261437908
Detroit,1977,Total Violent Crime,1828.53826332166
"El Paso, Texas",1977,Total Violent Crime,404.145077720207
"Fairfax County, Va.",1977,Total Violent Crime,162.477541005777
"Fort Worth, Texas",1977,Total Violent Crime,668.619526509811
"Fresno, Calif.",1977,Total Violent Crime,916.064808984334
Honolulu,1977,Total Violent Crime,229.922311190153
Houston,1977,Total Violent Crime,576.705057884353
Indianapolis,1977,Total Violent Crime,743.614931237721
"Jacksonville, Fla.",1977,Total Violent Crime,788.919193944369
"Kansas City, Mo.",1977,Total Violent Crime,1141.33582627958
Las Vegas,1977,Total Violent Crime,975.370901851739
"Long Beach, Calif.",1977,Total Violent Crime,978.186244814834
Los Angeles,1977,Total Violent Crime,1209.02149176077
"Los Angeles County, Calif.",1977,Total Violent Crime,1017.99688515449
"Louisville, Ky.",1977,Total Violent Crime,NA
"Memphis, Tenn.",1977,Total Violent Crime,784.08154088286
"Mesa, Ariz.",1977,Total Violent Crime,330.756013745704
Miami,1977,Total Violent Crime,1601.97535007626
"Miami-Dade County, Fla.",1977,Total Violent Crime,1094.9093705639
Milwaukee,1977,Total Violent Crime,395.791340678763
Minneapolis,1977,Total Violent Crime,801.959548442969
"Montgomery County, Md.",1977,Total Violent Crime,186.556904947628
"Nashville, Tenn.",1977,Total Violent Crime,647.628392274014
"Nassau County, N.Y.",1977,Total Violent Crime,101.249251157476
National,1977,Total Violent Crime,475.9
New Orleans,1977,Total Violent Crime,1011.7799978223
New York City,1977,Total Violent Crime,1629.54165097821
"Newark, N.J.",1977,Total Violent Crime,1757.1966808191
"Oakland, Calif.",1977,Total Violent Crime,1698.97189209583
Oklahoma City,1977,Total Violent Crime,721.417672725326
"Omaha, Neb.",1977,Total Violent Crime,522.21595998704
"Orlando, Fla.",1977,Total Violent Crime,965.583658573673
Philadelphia,1977,Total Violent Crime,634.819092103835
Phoenix,1977,Total Violent Crime,629.580768103196
Pittsburgh,1977,Total Violent Crime,947.735653889924
"Portland, Ore.",1977,Total Violent Crime,1031.33193157335
"Prince George's County, Md.",1977,Total Violent Crime,676.843553537707
"Raleigh, N.C.",1977,Total Violent Crime,373.593300183198
"Sacramento, Calif.",1977,Total Violent Crime,1099.08754995852
Salt Lake City,1977,Total Violent Crime,590.710740498107
San Antonio,1977,Total Violent Crime,491.352587026983
San Diego,1977,Total Violent Crime,559.71119206818
San Francisco,1977,Total Violent Crime,1384.37095880288
San Jose,1977,Total Violent Crime,469.819796833731
Seattle,1977,Total Violent Crime,831.2
"St. Louis, Mo.",1977,Total Violent Crime,1899.39049992286
"Suffolk County, N.Y.",1977,Total Violent Crime,178.984329667748
"Tampa, Fla.",1977,Total Violent Crime,1205.97474777986
"Tucson, Ariz.",1977,Total Violent Crime,514.845024469821
"Tulsa, Okla.",1977,Total Violent Crime,524.563761434072
"Virginia Beach, Va.",1977,Total Violent Crime,196.750012748381
"Washington, D.C.",1977,Total Violent Crime,1426.52173913043
"Wichita, Kan.",1977,Total Violent Crime,533.75208228264
"Albuquerque, N.M.",1978,Total Violent Crime,834.035787468218
"Arlington, Texas",1978,Total Violent Crime,369.609856262834
Atlanta,1978,Total Violent Crime,1939.69298245614
"Aurora, Colo.",1978,Total Violent Crime,631.943969155659
"Austin, Texas",1978,Total Violent Crime,426.171065608628
Baltimore,1978,Total Violent Crime,1875.19987719545
"Baltimore County, Md.",1978,Total Violent Crime,717.494384826554
Boston,1978,Total Violent Crime,1628.46362935616
"Buffalo, N.Y.",1978,Total Violent Crime,812.111464277052
"Charlotte-Mecklenburg, N.C.",1978,Total Violent Crime,787.768399325787
Chicago,1978,Total Violent Crime,896.945247981744
Cincinnati,1978,Total Violent Crime,814.903632649436
Cleveland,1978,Total Violent Crime,1578.00010414768
"Columbus, Ohio",1978,Total Violent Crime,579.764774232369
Dallas,1978,Total Violent Crime,1133.70465869571
Denver,1978,Total Violent Crime,1004.4341742406
Detroit,1978,Total Violent Crime,1668.93419831747
"El Paso, Texas",1978,Total Violent Crime,373.4335839599
"Fairfax County, Va.",1978,Total Violent Crime,175.371493048251
"Fort Worth, Texas",1978,Total Violent Crime,710.370882775502
"Fresno, Calif.",1978,Total Violent Crime,1025.2908499081
Honolulu,1978,Total Violent Crime,281.830353018715
Houston,1978,Total Violent Crime,730.042401928302
Indianapolis,1978,Total Violent Crime,727.296106735039
"Jacksonville, Fla.",1978,Total Violent Crime,834.863981009138
"Kansas City, Mo.",1978,Total Violent Crime,1083.99740478649
Las Vegas,1978,Total Violent Crime,999.082616447129
"Long Beach, Calif.",1978,Total Violent Crime,1071.61328939951
Los Angeles,1978,Total Violent Crime,1320.05990977659
"Los Angeles County, Calif.",1978,Total Violent Crime,1106.85818212474
"Louisville, Ky.",1978,Total Violent Crime,NA
"Memphis, Tenn.",1978,Total Violent Crime,792.256613849559
"Mesa, Ariz.",1978,Total Violent Crime,394.598877834429
Miami,1978,Total Violent Crime,1900.2605586863
"Miami-Dade County, Fla.",1978,Total Violent Crime,1260.17346989071
Milwaukee,1978,Total Violent Crime,390.920008915157
Minneapolis,1978,Total Violent Crime,826.574172892209
"Montgomery County, Md.",1978,Total Violent Crime,216.65997140393
"Nashville, Tenn.",1978,Total Violent Crime,696.887985147202
"Nassau County, N.Y.",1978,Total Violent Crime,91.3527570807477
National,1978,Total Violent Crime,497.8
New Orleans,1978,Total Violent Crime,1365.44101867086
New York City,1978,Total Violent Crime,1693.86899089672
"Newark, N.J.",1978,Total Violent Crime,2101.1486770716
"Oakland, Calif.",1978,Total Violent Crime,1639.63436214745
Oklahoma City,1978,Total Violent Crime,946.26217259906
"Omaha, Neb.",1978,Total Violent Crime,509.266118986077
"Orlando, Fla.",1978,Total Violent Crime,1368.32414078535
Philadelphia,1978,Total Violent Crime,655.994883144448
Phoenix,1978,Total Violent Crime,775.155971255649
Pittsburgh,1978,Total Violent Crime,1004.91612141589
"Portland, Ore.",1978,Total Violent Crime,1108.14710190705
"Prince George's County, Md.",1978,Total Violent Crime,715.952548967942
"Raleigh, N.C.",1978,Total Violent Crime,429.64482694306
"Sacramento, Calif.",1978,Total Violent Crime,1223.10825540703
Salt Lake City,1978,Total Violent Crime,574.054054054054
San Antonio,1978,Total Violent Crime,421.900634197703
San Diego,1978,Total Violent Crime,566.91830983089
San Francisco,1978,Total Violent Crime,1595.63080483017
San Jose,1978,Total Violent Crime,468.839609203892
Seattle,1978,Total Violent Crime,1000.0795981721
"St. Louis, Mo.",1978,Total Violent Crime,1922.40675041847
"Suffolk County, N.Y.",1978,Total Violent Crime,218.061319914884
"Tampa, Fla.",1978,Total Violent Crime,1333.71330863494
"Tucson, Ariz.",1978,Total Violent Crime,534.928848641656
"Tulsa, Okla.",1978,Total Violent Crime,606.741573033708
"Virginia Beach, Va.",1978,Total Violent Crime,193.223466055
"Washington, D.C.",1978,Total Violent Crime,1411.72106824926
"Wichita, Kan.",1978,Total Violent Crime,472.295332294872
"Albuquerque, N.M.",1979,Total Violent Crime,886.733748179531
"Arlington, Texas",1979,Total Violent Crime,480.558860783787
Atlanta,1979,Total Violent Crime,2532.48027076149
"Aurora, Colo.",1979,Total Violent Crime,769.609011801168
"Austin, Texas",1979,Total Violent Crime,442.66522960853
Baltimore,1979,Total Violent Crime,1962.69823909693
"Baltimore County, Md.",1979,Total Violent Crime,787.813812762552
Boston,1979,Total Violent Crime,1899.99032659419
"Buffalo, N.Y.",1979,Total Violent Crime,1004.64946667882
"Charlotte-Mecklenburg, N.C.",1979,Total Violent Crime,826.765235270437
Chicago,1979,Total Violent Crime,908.487680185677
Cincinnati,1979,Total Violent Crime,941.034594388884
Cleveland,1979,Total Violent Crime,1618.94040550001
"Columbus, Ohio",1979,Total Violent Crime,794.304674451177
Dallas,1979,Total Violent Crime,1298.19490492788
Denver,1979,Total Violent Crime,1052.20525198034
Detroit,1979,Total Violent Crime,1669.75925472864
"El Paso, Texas",1979,Total Violent Crime,543.262576105158
"Fairfax County, Va.",1979,Total Violent Crime,169.816551915346
"Fort Worth, Texas",1979,Total Violent Crime,987.825743274516
"Fresno, Calif.",1979,Total Violent Crime,1014.11862519182
Honolulu,1979,Total Violent Crime,299.032637587694
Houston,1979,Total Violent Crime,877.723746699892
Indianapolis,1979,Total Violent Crime,813.03502589141
"Jacksonville, Fla.",1979,Total Violent Crime,897.2967631067
"Kansas City, Mo.",1979,Total Violent Crime,1283.6077543561
